,id_buque,fecha_atraque
250,107,2018-04-14 00:36:45
251,96,2011-07-06 16:33:06
252,101,2013-09-03 07:39:14
253,148,2020-08-11 10:04:04
256,157,2010-09-01 06:59:50
257,85,2017-10-24 23:02:26
259,178,2016-08-21 06:55:26
260,32,2018-03-05 03:05:07
261,93,2010-06-03 14:38:40
262,108,2013-10-02 23:29:26
263,40,2017-07-12 08:34:35
264,237,2012-05-14 11:21:05
265,156,2016-04-01 06:49:02
267,248,2017-07-27 15:51:37
269,8,2019-04-02 05:26:23
270,146,2017-08-04 08:48:24
273,156,2014-10-02 20:18:54
276,198,2014-08-04 06:30:06
279,126,2014-06-06 11:02:55
280,2,2017-11-11 02:39:34
281,74,2011-03-08 22:03:18
282,178,2015-01-12 17:27:56
285,201,2020-04-01 06:20:10
286,114,2012-10-08 09:49:15
287,62,2014-11-28 14:41:08
288,41,2010-12-22 18:00:49
289,217,2016-05-14 02:14:56
290,81,2019-12-31 23:27:42
291,150,2017-11-21 06:50:06
292,163,2013-07-14 16:38:30
293,98,2011-02-03 04:03:40
295,5,2018-06-24 22:50:11
296,195,2011-03-25 10:22:20
297,58,2017-04-23 18:57:02
298,199,2010-12-08 13:49:10
299,193,2017-04-16 11:20:17
301,106,2018-07-31 15:08:17
304,137,2020-06-16 23:27:55
307,31,2013-02-28 03:50:49
308,97,2016-10-04 08:50:56
309,24,2014-09-23 15:51:10
310,205,2020-08-12 18:25:54
311,204,2010-02-09 11:36:53
313,32,2015-08-03 08:03:41
314,182,2012-08-27 04:08:27
315,153,2011-12-29 14:40:54
316,4,2017-01-04 03:00:39
318,239,2014-05-29 09:53:21
319,47,2010-09-16 12:32:35
320,179,2015-01-26 13:09:04
321,186,2014-02-12 18:11:13
322,75,2012-07-04 22:56:10
323,233,2015-09-26 17:21:30
325,246,2020-05-05 16:21:31
326,202,2016-12-06 02:47:30
329,23,2017-11-13 10:30:03
330,21,2016-03-01 12:21:36
335,12,2019-02-24 09:17:44
336,61,2012-05-12 02:19:07
337,245,2013-09-28 22:31:23
340,135,2011-09-17 17:23:25
341,95,2014-04-26 19:41:22
344,42,2013-03-02 01:30:23
346,194,2019-05-11 10:25:59
348,66,2012-08-16 13:42:32
350,206,2015-07-12 18:05:30
351,207,2014-05-16 20:12:27
353,247,2020-04-07 03:41:53
355,167,2011-03-10 20:16:32
358,90,2014-04-25 11:42:06
359,99,2019-04-21 23:47:33
360,104,2017-06-25 06:43:17
363,154,2017-11-28 08:44:18
367,18,2019-06-24 20:18:16
368,135,2020-03-06 04:46:32
369,56,2015-01-26 01:46:05
370,124,2018-04-08 17:00:41
372,133,2017-04-07 19:58:33
374,233,2019-08-03 19:37:23
375,96,2018-10-21 09:11:29
377,62,2015-10-11 19:53:46
379,243,2020-04-22 22:54:24
380,231,2014-03-25 17:46:04
381,95,2014-08-15 08:57:26
382,168,2013-02-25 09:16:08
386,211,2016-12-25 01:04:05
387,69,2015-07-05 16:29:02
389,97,2013-08-18 23:22:03
393,200,2019-02-25 02:17:31
395,221,2012-02-28 00:06:12
396,31,2012-10-29 09:13:42
397,7,2012-08-24 04:16:03
398,166,2011-06-26 21:11:00
399,61,2012-09-11 23:28:05
401,236,2019-06-29 01:19:19
402,52,2010-01-09 01:13:59
403,171,2010-08-21 08:11:29
404,187,2020-03-28 09:51:46
405,12,2017-03-19 13:02:11
406,182,2019-05-25 21:14:14
410,102,2019-07-25 20:22:49
411,226,2020-01-29 11:13:33
413,127,2019-10-19 21:50:09
415,5,2015-05-28 14:19:48
418,206,2020-05-28 18:51:36
419,84,2014-05-01 01:12:30
420,197,2011-10-08 14:25:18
421,0,2015-04-06 07:29:48
423,115,2014-03-25 04:24:54
424,64,2015-12-30 21:05:41
425,42,2016-03-11 23:23:05
427,1,2016-05-21 00:39:16
428,105,2016-09-12 16:32:55
429,77,2015-09-18 05:53:00
430,83,2012-05-06 10:41:34
431,10,2016-02-23 21:23:23
432,163,2012-07-30 02:18:21
434,141,2017-03-01 07:00:00
435,114,2015-12-28 14:26:52
436,247,2017-03-08 15:29:41
437,76,2013-01-26 10:02:34
438,214,2016-08-09 04:23:49
440,78,2015-04-14 10:03:58
441,197,2011-09-12 10:10:14
442,219,2015-10-07 03:27:49
443,197,2016-05-02 02:38:23
444,87,2015-02-27 13:35:47
445,146,2020-04-15 15:56:43
447,18,2018-11-23 19:39:22
449,40,2016-03-12 01:58:28
450,228,2018-07-02 04:55:43
451,157,2017-09-22 14:40:13
453,30,2014-01-19 20:53:45
457,246,2013-12-16 01:14:47
458,185,2010-10-07 00:36:28
461,39,2012-07-16 10:05:09
462,130,2016-08-25 04:30:33
463,194,2015-10-29 08:12:01
464,222,2012-06-25 09:33:40
469,117,2016-09-27 19:23:17
470,41,2020-08-08 21:15:16
471,241,2016-11-04 07:30:13
472,8,2019-07-13 21:16:24
473,195,2011-06-20 11:03:39
475,183,2014-04-08 19:59:34
477,64,2016-09-11 08:02:27
478,9,2020-08-11 01:14:38
479,44,2017-07-02 12:13:41
483,219,2014-06-10 14:11:17
484,231,2017-01-08 21:29:22
485,4,2010-09-18 10:35:00
486,187,2020-07-21 11:03:19
487,95,2015-11-01 09:12:02
489,6,2015-04-23 07:46:05
490,30,2017-01-09 05:21:41
492,23,2015-09-24 16:59:59
493,168,2010-05-25 00:27:38
495,200,2017-12-16 16:16:17
497,245,2012-07-14 20:14:06
498,173,2010-08-12 00:43:27
500,42,2019-01-18 08:54:48
501,240,2011-10-31 10:57:26
504,31,2017-07-12 23:19:30
505,128,2013-01-21 13:04:41
507,225,2010-09-08 03:27:04
511,224,2016-02-10 09:20:01
512,167,2016-03-29 19:55:29
513,246,2015-07-17 08:56:51
514,62,2018-03-03 02:52:08
515,84,2015-12-23 01:56:54
516,180,2016-08-20 18:23:25
517,249,2016-11-05 12:29:57
519,98,2015-06-04 01:46:27
520,119,2015-01-19 15:00:21
521,222,2018-11-26 14:54:08
524,40,2019-12-09 12:15:40
526,28,2020-07-07 23:20:25
528,208,2011-04-17 10:58:50
531,16,2013-08-21 14:32:39
533,194,2010-08-25 13:51:37
535,66,2014-11-18 00:27:58
538,55,2010-12-08 00:11:01
539,43,2013-08-09 04:34:15
540,25,2014-11-23 06:01:31
541,75,2019-06-19 03:31:57
542,7,2020-08-09 15:59:45
545,87,2011-01-23 13:47:57
546,149,2020-04-16 07:11:33
547,109,2011-08-26 18:14:52
548,206,2018-06-29 23:23:23
550,149,2010-01-03 23:27:10
551,125,2018-09-11 17:56:52
552,155,2015-09-06 21:08:15
553,89,2012-05-24 05:36:01
556,27,2019-02-23 05:21:21
557,183,2013-04-15 10:58:13
558,173,2011-03-03 00:23:24
559,199,2012-08-06 21:51:16
560,195,2018-07-24 08:43:11
561,5,2013-12-20 21:57:47
563,24,2019-10-17 02:59:45
565,78,2011-01-12 02:41:31
570,197,2014-09-23 08:59:28
571,21,2013-10-22 00:39:10
572,197,2020-04-30 03:34:07
574,218,2010-06-05 04:01:28
576,83,2017-03-12 03:05:10
578,234,2012-02-16 08:38:47
581,66,2012-10-18 12:00:00
582,239,2016-03-26 03:50:07
583,158,2011-02-10 06:02:24
585,181,2016-10-05 00:28:21
586,105,2017-04-18 18:54:27
588,199,2014-05-01 14:54:41
589,148,2014-12-05 05:31:35
590,74,2015-07-19 03:35:15
591,248,2010-05-19 14:17:18
592,12,2013-09-07 07:45:44
594,227,2015-07-20 13:37:42
595,28,2013-12-17 12:58:35
597,121,2020-06-26 02:36:49
598,228,2010-10-23 14:44:06
599,150,2013-09-11 18:48:09
600,125,2011-04-22 05:55:21
601,137,2017-11-26 06:22:33
602,157,2016-04-01 21:51:51
603,150,2017-02-06 03:00:12
605,134,2020-04-22 09:49:54
606,33,2017-09-27 04:33:41
609,232,2012-09-08 21:18:11
610,201,2013-11-10 08:06:04
612,89,2015-08-17 20:29:39
614,220,2012-11-05 09:18:59
615,238,2014-05-11 17:37:37
616,106,2017-10-13 20:27:08
617,90,2011-03-24 13:15:12
618,50,2010-05-11 13:05:31
619,117,2016-08-24 20:16:05
621,12,2011-11-12 19:45:13
622,72,2020-02-15 02:39:38
623,154,2011-11-11 12:25:48
624,97,2015-11-23 14:07:02
626,46,2012-05-16 20:10:25
629,237,2014-12-29 01:14:48
630,49,2019-09-18 15:32:57
631,22,2011-05-01 11:59:02
633,244,2015-04-18 04:40:22
634,18,2016-02-24 06:52:22
635,229,2019-09-05 14:26:48
637,83,2020-04-07 23:21:02
638,107,2020-01-03 05:20:39
639,167,2017-04-11 01:34:11
640,120,2014-06-04 23:01:19
641,231,2016-02-17 05:29:33
643,173,2010-04-09 03:10:59
644,113,2020-05-11 05:56:41
645,176,2017-02-07 07:58:45
646,115,2017-08-16 00:48:00
647,166,2013-09-28 05:28:44
649,38,2011-01-20 11:09:52
650,68,2014-10-18 16:28:55
651,172,2010-11-01 03:48:44
655,20,2020-05-06 04:15:58
656,90,2014-11-06 13:03:28
657,60,2019-06-02 04:32:37
659,219,2018-05-09 13:00:52
660,168,2019-06-25 07:43:17
661,218,2010-10-30 22:46:07
664,248,2015-06-27 16:59:57
667,79,2016-05-31 20:40:27
668,96,2016-03-11 12:46:57
669,221,2013-08-03 15:08:45
671,76,2013-08-08 13:53:47
672,87,2013-06-01 04:25:58
673,95,2011-08-28 09:06:19
675,162,2020-01-27 12:15:10
676,224,2017-03-13 03:39:35
677,7,2011-03-16 06:25:08
678,115,2018-02-13 21:11:18
679,142,2016-03-05 14:04:19
680,172,2018-07-12 02:12:58
682,225,2011-03-11 16:36:01
683,66,2017-12-16 11:18:16
684,225,2012-05-28 04:12:50
685,84,2018-10-26 15:00:03
686,34,2018-12-17 08:24:34
688,230,2012-03-02 00:30:27
689,143,2017-07-27 00:42:30
690,146,2010-08-24 15:22:43
692,85,2020-04-09 10:55:59
693,243,2017-02-15 15:26:49
694,244,2015-12-11 19:23:14
695,187,2014-02-23 00:48:07
697,34,2015-11-27 17:22:07
698,201,2013-04-09 10:54:58
699,249,2019-09-14 22:39:09
702,0,2017-02-21 11:24:57
703,224,2014-02-10 16:41:30
707,84,2019-04-03 05:34:34
709,232,2011-11-26 15:57:21
710,210,2015-01-28 18:16:28
714,15,2010-03-17 21:01:08
716,218,2011-11-01 03:22:38
717,159,2010-10-15 06:52:13
718,94,2010-12-17 02:19:14
719,183,2017-05-05 00:49:56
721,203,2012-01-07 22:59:27
722,171,2010-10-10 09:18:56
723,138,2013-03-31 22:13:10
725,191,2011-06-17 14:16:00
726,136,2013-04-11 07:27:40
728,105,2015-08-13 13:42:43
730,237,2011-01-26 20:26:34
733,225,2016-09-14 19:32:09
735,185,2011-07-31 23:05:51
736,43,2013-05-02 02:30:12
737,172,2018-01-31 08:22:56
738,236,2018-12-29 16:46:27
741,171,2019-07-17 10:34:52
742,10,2013-06-10 02:55:51
743,128,2017-01-17 23:35:43
744,91,2020-06-26 17:04:15
746,15,2014-10-27 04:15:48
747,27,2010-11-16 20:32:30
748,179,2010-12-31 13:06:02
749,138,2012-11-27 02:59:57
751,17,2011-03-03 21:17:50
752,0,2011-03-04 02:02:06
753,152,2020-06-30 15:19:36
755,67,2010-08-24 05:00:58
757,48,2018-07-29 23:05:46
758,7,2020-07-27 04:01:36
759,20,2016-04-27 13:11:29
760,249,2018-09-23 11:20:23
763,248,2011-03-22 06:00:07
764,60,2015-05-06 03:50:50
765,49,2017-05-19 22:40:51
766,56,2015-09-08 19:02:14
767,73,2017-03-20 18:08:51
768,165,2014-08-07 16:57:10
772,47,2011-09-05 08:06:36
774,228,2010-01-30 00:47:35
775,200,2013-07-28 16:07:22
776,66,2011-02-25 02:10:31
777,102,2020-07-31 19:48:10
778,209,2017-04-22 15:49:59
779,28,2019-01-01 02:45:04
780,101,2015-05-19 04:47:56
781,46,2019-08-16 20:05:07
783,221,2012-05-30 19:26:13
784,234,2011-08-05 13:39:31
785,148,2013-06-19 05:05:59
786,146,2013-01-11 15:15:49
788,20,2016-12-29 17:00:50
789,186,2010-12-15 19:17:21
791,196,2019-12-21 22:50:57
792,146,2016-08-08 21:12:33
793,3,2014-06-08 12:23:31
794,127,2014-04-05 11:29:55
797,58,2012-06-08 21:05:11
801,174,2018-10-11 04:54:28
802,178,2019-12-27 20:24:43
806,38,2014-05-03 12:10:48
807,180,2017-03-08 17:47:08
808,135,2012-05-24 13:19:47
809,141,2014-07-01 08:53:57
810,218,2019-04-29 01:13:30
811,57,2017-02-12 01:20:01
812,143,2013-09-15 21:11:56
813,157,2017-03-02 11:32:05
814,52,2018-10-08 01:43:35
815,104,2013-03-09 14:02:05
817,122,2018-07-27 06:46:22
818,178,2018-12-25 22:12:53
819,176,2012-12-20 23:03:27
820,189,2017-08-05 05:38:57
823,39,2015-06-17 22:38:12
824,209,2013-10-17 17:36:32
825,36,2010-12-17 10:28:04
827,35,2016-08-17 06:32:12
830,90,2010-06-15 06:57:36
831,31,2014-06-14 17:59:20
832,16,2015-10-04 05:37:15
834,158,2012-01-30 17:41:19
836,24,2014-12-27 01:19:40
837,171,2012-02-01 16:00:51
838,128,2016-03-27 11:33:13
839,186,2018-07-01 13:26:15
841,191,2014-03-13 17:17:39
842,185,2013-10-22 04:52:19
843,63,2017-08-25 02:24:02
844,70,2011-05-11 11:56:12
845,197,2014-10-06 07:07:24
846,73,2018-11-01 23:11:19
847,3,2019-07-13 17:35:12
853,83,2019-08-02 19:14:01
854,219,2019-01-17 08:45:59
855,35,2012-11-04 17:31:26
856,222,2014-07-19 18:11:01
857,78,2012-07-19 01:41:47
858,160,2020-07-15 03:32:51
859,119,2017-08-13 05:59:37
862,160,2010-11-10 06:32:49
864,91,2015-01-15 19:06:23
866,232,2020-08-06 07:17:14
869,110,2017-06-05 17:58:59
870,193,2017-12-07 06:39:23
872,101,2014-03-22 19:05:39
873,135,2017-05-30 03:38:16
874,80,2013-07-24 00:33:44
876,121,2019-04-11 20:43:12
877,20,2010-09-14 12:54:33
878,194,2019-03-07 01:50:08
879,170,2015-06-16 13:31:45
880,82,2011-08-25 20:48:53
882,56,2016-12-23 15:19:51
884,206,2013-05-26 12:29:53
886,99,2013-09-05 14:23:50
887,73,2013-02-04 01:35:43
888,9,2016-02-11 09:24:29
889,130,2018-11-27 18:54:41
890,116,2015-04-14 00:14:04
891,70,2013-09-15 03:57:09
